,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all
MOF3,2.5921,27.692,17.71536667,78.36406667,169.0,520.0,775.6666667,1473.333333,1.0,5.0,5.666666667,14.66666667,27.0,57.0,126.0,163.0,1.5876,4.599,7.7616,13.5912,0.0,-9.15,-1.88,-25.06,0.0,25.0,14.0,77.33333333,0.0,0.0,0.0,0.0,0.0,16.33333333,6.0,45.0,0.0,2.65,0.98,7.693333333,144.0441,255.969,399.6456,462.213,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.9442,19.1268,27.591,31.0002,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.89,0.89,1.78,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF4,3.6481,23.2256,42.7076,63.0682,784.0,784.0,1456.0,3024.0,1.0,4.0,8.0,14.0,16.0,48.0,96.0,144.0,1.4641,3.63,7.3568,12.1726,0.0,-4.52,-7.08,-6.28,0.0,84.0,172.0,284.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,20.0,0.0,1.84,3.6,6.88,196.5471,444.5286,674.049,715.665,843.0,1986.0,2748.0,2388.0,30.0,66.0,102.0,114.0,168.0,420.0,618.0,618.0,13.5006,33.2202,48.9294,48.837,9.2416,16.9936,22.192,14.44,49.0,91.0,91.0,49.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,8.0,0.5625,1.14,1.4325,0.855,54.76,138.38,200.592614,116.972614,0.0,0.49,1.82,1.33,0.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.02,0.34,0.36,0.0,-3.9,-4.90711,-1.00711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF5,2.1639,34.4601,21.4227,89.4105,1369.0,2212.5,5592.0,5748.0,1.0,7.25,7.0,20.0,54.25,128.25,270.0,325.0,2.169325,7.992075,11.4114,22.1221,0.0,-14.2025,-3.88,-36.25,0.0,213.25,108.0,608.0,0.0,0.0,0.0,0.0,0.0,37.0,14.0,107.0,0.0,5.425,2.5,15.13,559.9152,1209.924,1958.0048,2458.396,2460.0,5472.0,8384.0,9256.0,84.0,184.0,296.0,384.0,480.0,1224.0,1832.0,2096.0,38.258,93.5704,144.4648,170.7808,10.9696,11.016,24.07306667,26.49066667,59.0,60.0,130.6666667,124.6666667,1.0,1.333333333,2.666666667,3.333333333,2.0,6.0,10.66666667,13.33333333,0.542766667,0.759733333,1.5,1.704466667,36.98,95.67333333,170.1466667,213.5817427,0.0,0.92,1.246666667,2.4,0.0,2.0,2.666666667,8.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.666666667,-3.333333333,0.0,-0.04,-0.053333333,0.173333333,0.0,-6.6,-9.2,-11.27140667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF6,2.14474,15.6256,16.04944,39.07656,1436.8,924.8,3212.8,2323.2,1.0,3.2,4.8,8.8,10.4,26.4,48.0,72.0,2.1901,3.42408,7.18256,9.52952,0.0,-5.968,-2.976,-13.616,0.0,93.6,89.6,260.8,0.0,0.0,0.0,0.0,0.0,2.4,1.6,7.2,0.0,2.312,1.936,6.176,559.9152,1209.924,1958.0048,2458.396,2460.0,5472.0,8384.0,9256.0,84.0,184.0,296.0,384.0,480.0,1224.0,1832.0,2096.0,38.258,93.5704,144.4648,170.7808,10.9696,11.016,24.07306667,26.49066667,59.0,60.0,130.6666667,124.6666667,1.0,1.333333333,2.666666667,3.333333333,2.0,6.0,10.66666667,13.33333333,0.542766667,0.759733333,1.5,1.704466667,36.98,95.67333333,170.1466667,213.5817427,0.0,0.92,1.246666667,2.4,0.0,2.0,2.666666667,8.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.666666667,-3.333333333,0.0,-0.04,-0.053333333,0.173333333,0.0,-6.6,-9.2,-11.27140667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF7,2.7225,20.064,33.66,68.244,900.0,840.0,1440.0,2400.0,1.0,4.0,8.0,16.0,16.0,48.0,96.0,128.0,1.7161,3.93,8.0696,13.9384,0.0,-5.56,-7.2,-14.96,0.0,92.0,192.0,400.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,32.0,0.0,2.24,4.32,10.32,54.1732,110.466,155.7012,84.882,244.0,504.0,630.0,198.0,8.0,16.0,22.0,14.0,38.0,84.0,96.0,34.0,3.7704,8.1312,10.3662,4.895,9.2416,15.504,31.4336,6.688,49.0,84.0,140.0,7.0,1.0,2.0,4.0,1.0,4.0,12.0,14.0,2.0,0.5625,1.155,1.995,0.2775,54.76,167.24,255.352614,33.352614,0.0,0.98,1.82,0.84,0.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,1.0,0.0,-0.04,0.34,0.38,0.0,-7.8,-4.90711,2.89289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF8,2.8561,32.1776,50.531,86.1224,2304.0,2112.0,2976.0,4128.0,1.0,6.0,12.0,20.0,36.0,108.0,216.0,264.0,2.1904,6.6008,12.4912,17.8784,0.0,-8.9,-9.62,-17.16,0.0,244.0,514.0,874.0,0.0,0.0,0.0,0.0,0.0,18.0,36.0,76.0,0.0,4.42,9.32,17.52,130.7895,273.833,475.2414,545.4716,534.0,1142.0,1704.0,1586.0,19.0,40.0,70.0,82.0,110.0,278.0,396.0,384.0,7.8619,19.0812,29.8454,31.0622,10.1056,13.26,31.7864,37.88346667,54.0,72.0,133.0,144.6666667,1.0,1.666666667,4.0,4.666666667,3.0,10.33333333,17.66666667,16.33333333,0.552633333,0.957366667,1.885,2.0524,45.87,131.4566667,231.4168187,224.6069177,0.0,0.95,2.233333333,2.466666667,0.0,2.0,10.33333333,13.66666667,0.0,0.0,0.0,0.0,0.0,-2.666666667,-2.333333333,-1.0,0.0,-0.04,0.46,0.726666667,0.0,-7.2,-4.642813333,-0.11422,10.5376,15.482,26.0196,28.5836,56.5,69.5,126.0,108.5,1.0,2.0,3.0,3.5,5.0,12.0,17.5,15.5,0.5477,0.9973,1.545,1.53735,41.425,130.241307,171.666307,164.0414555,0.0,1.355,1.355,2.35,0.0,5.0,5.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.15,0.15,0.52,0.0,-5.453555,-5.453555,-2.710665
MOF11,5.4289,14.1664,24.9077,30.8492,6724.0,1148.0,2050.0,2542.0,1.0,2.0,4.0,5.0,4.0,12.0,22.0,28.0,2.0736,2.16,4.4064,5.5152,0.0,-1.42,-1.37,-1.59,0.0,150.0,303.0,379.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0,-4.0,0.0,1.38,2.7,3.37,255.7601,573.0784,874.0028,928.28,1160.0,2680.0,3812.0,3680.0,37.0,82.0,124.0,134.0,206.0,502.0,692.0,672.0,17.4989,42.3978,61.2988,61.0602,9.2416,16.2488,27.8768,41.42,49.0,87.5,150.5,192.5,1.0,2.0,3.5,5.0,4.0,11.0,20.0,21.0,0.5625,1.1475,2.01375,2.55,54.76,152.81,278.24,295.682614,0.0,0.735,1.47,1.575,0.0,1.5,3.0,7.5,0.0,0.0,0.0,0.0,0.0,-1.5,-3.0,-0.5,0.0,-0.03,-0.06,0.35,0.0,-5.85,-11.7,-2.95711,9.2416,16.00053333,28.87324444,30.19733333,49.0,86.33333333,136.1111111,142.3333333,1.0,2.0,3.666666667,3.666666667,4.0,11.33333333,17.77777778,16.0,0.5625,1.15,1.905833333,1.8925,54.76,157.62,250.6484093,224.995076,0.0,0.816666667,1.648888889,1.213333333,0.0,1.666666667,6.222222222,5.333333333,0.0,0.0,0.0,0.0,0.0,-1.666666667,-1.555555556,-0.666666667,0.0,-0.033333333,0.208888889,0.226666667,0.0,-6.5,-6.738073333,-3.271406667
MOF12,5.4289,22.1816,29.7075,66.0555,6724.0,1804.0,2460.0,5412.0,1.0,3.0,5.0,10.0,9.0,24.0,45.0,75.0,2.0736,3.2112,5.544,10.9152,0.0,-2.53,-1.1,-5.05,0.0,224.0,380.0,754.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.09,3.35,6.82,151.0794,289.986,472.4504,578.079,624.0,1200.0,1700.0,1548.0,22.0,44.0,72.0,90.0,116.0,284.0,376.0,394.0,9.1558,20.9132,30.5224,33.8058,10.5376,12.138,27.2964,28.9476,56.5,66.0,147.0,123.0,1.0,1.5,3.0,3.5,2.5,7.5,12.5,12.5,0.5477,0.85855,1.6875,1.69115,41.425,113.565,182.37,192.212683,0.0,0.935,0.935,2.175,0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.5,-2.0,0.0,-0.04,-0.04,0.32,0.0,-6.9,-6.9,-6.10711,10.5376,12.46902222,24.06048889,27.87853333,56.5,67.55555556,120.5555556,104.3333333,1.0,1.5,2.777777778,3.444444444,2.5,7.055555556,11.38888889,10.61111111,0.5477,0.855216667,1.470833333,1.5274,41.425,107.1516667,169.4786491,168.4327337,0.0,0.826111111,1.323888889,2.357777778,0.0,1.777777778,4.222222222,11.27777778,0.0,0.0,0.0,0.0,0.0,-1.777777778,-2.388888889,-1.166666667,0.0,-0.035555556,0.082222222,0.496666667,0.0,-6.033333333,-6.80237,-3.304714444
MOF13,5.4289,25.7232,37.9324,62.7469,6724.0,2091.0,3116.0,17712.0,1.0,3.5,6.0,10.0,12.5,34.0,64.5,97.5,2.0736,3.7512,6.5952,12.9024,0.0,-2.885,-2.3,-3.63,0.0,261.5,454.0,604.0,0.0,0.0,0.0,0.0,0.0,3.0,3.5,7.0,0.0,2.435,4.06,5.44,203.41975,431.5322,673.2266,753.302,892.0,1940.0,2756.0,2639.0,29.5,63.0,98.0,112.0,161.0,393.0,534.0,542.0,13.32735,31.6555,45.9106,47.593,10.5376,12.73384,23.30184,27.66168,56.5,68.8,126.0,110.4,1.0,1.5,2.6,3.4,2.5,6.7,11.3,11.5,0.5477,0.85255,1.4655,1.5764,41.425,102.021,166.238,179.5692058,0.0,0.739,1.033,2.294,0.0,1.6,2.2,10.1,0.0,0.0,0.0,0.0,0.0,-1.6,-2.7,-1.7,0.0,-0.032,-0.044,0.398,0.0,-5.34,-7.68,-5.138532,10.5376,12.138,25.77133333,28.4156,56.5,66.0,124.8333333,105.5,1.0,1.5,3.0,3.5,2.5,7.5,11.83333333,10.5,0.5477,0.85855,1.5475,1.54115,41.425,113.565,176.476307,167.07899,0.0,0.935,1.436666667,2.35,0.0,2.0,5.166666667,11.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.166666667,-1.0,0.0,-0.04,0.146666667,0.52,0.0,-6.9,-6.103555,-2.710665
MOF14,1.21,30.272,19.25,54.67,3249.0,3648.0,8550.0,6612.0,1.0,8.0,8.0,16.0,64.0,160.0,272.0,320.0,2.8561,9.8696,13.52,20.1448,0.0,-18.72,-8.7,-32.1,0.0,392.0,306.0,796.0,0.0,0.0,0.0,0.0,0.0,44.0,30.0,88.0,0.0,7.68,5.52,15.12,319.1691,663.714,1059.0756,1353.378,1371.0,2916.0,4344.0,4764.0,48.0,102.0,162.0,216.0,264.0,666.0,978.0,1128.0,21.2592,50.8662,76.8402,92.2872,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.89,0.89,1.78,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
