,LCD,PLD,LFPD,Density,VSA,GSA,VF,PV
MOF1,6.34932,1.45336,6.34932,2.361,4791.02,2029.24,0.41406,0.175375
MOF2,36.1506,14.04664,36.1506,0.427517,1617.08,3782.5,0.82148,1.92151
MOF3,8.27781,2.00928,7.23554,1.32395,4317.56,3261.11,0.5042,0.380829
MOF4,14.59205,9.55254,14.59205,0.752086,2819.88,3749.4,0.71344,0.948614
MOF5,32.02393,30.99549,32.02393,0.486828,1713.38,3519.47,0.82332,1.69119
MOF6,26.04126,14.54717,26.04126,0.428971,1529.86,3566.36,0.84892,1.97897
MOF7,11.39286,3.40894,11.39286,0.949095,4811.95,5070.04,0.58396,0.615281
MOF8,6.30748,3.80746,6.05966,1.30834,5209.15,3981.5,0.47978,0.366709
MOF9,28.23749,11.69499,28.23749,0.681201,2159.7,3170.43,0.7409,1.08764
MOF10,6.75117,4.61816,6.73033,1.46545,4307.87,2939.63,0.53256,0.363411
MOF11,2.43335,1.36737,2.4302,2.19433,7412.16,3377.87,0.2917,0.132934
MOF12,2.27554,1.28818,2.2692,1.99038,7541.03,3788.74,0.30168,0.151569
MOF13,3.36501,2.20095,3.35548,2.2983,7075.62,3078.62,0.31202,0.135761
MOF14,12.50889,10.18531,12.50735,0.9535,3782.05,3966.49,0.6258,0.656319
MOF15,14.99641,9.89757,14.99641,0.736094,2819.54,3830.41,0.72664,0.987156
MOF16,4.98384,3.90173,4.96031,4.19955,2437.7,580.468,0.29666,0.0706409
MOF17,5.3923,4.26632,5.18862,1.20951,5520.77,4564.46,0.51022,0.421839
MOF18,6.94944,6.89684,6.94944,1.04189,3737.81,3587.53,0.58356,0.560099
MOF19,3.50283,1.85626,3.47623,1.85321,6665.47,3596.71,0.39192,0.211481
MOF20,5.35282,1.7323,2.6791,4.28202,3601.15,840.994,0.1722,0.0402147
MOF21,4.79847,4.18485,4.70167,1.50434,6009.41,3994.72,0.37886,0.251845
MOF22,6.04113,3.76397,5.99162,1.11974,4371.23,3903.79,0.49532,0.442353
MOF23,26.23192,8.98152,26.23192,0.74946,1673.28,2232.64,0.8214,1.09599
MOF24,26.2956,9.06734,26.2956,0.576598,1686.53,2924.98,0.80888,1.40285
MOF25,19.61611,6.71064,19.61611,0.903297,2314.7,2562.5,0.72344,0.800888
MOF26,6.07068,5.33043,6.07068,1.77601,5355.42,3015.42,0.54184,0.305088
MOF27,27.79726,11.16103,27.76929,0.630774,2170.1,3440.38,0.73398,1.16362
MOF28,28.48677,11.8329,28.48274,0.684425,2162.07,3158.96,0.74224,1.08447
MOF29,7.01984,6.76477,7.01984,0.978971,3862.8,3945.77,0.56194,0.574011
MOF30,3.17866,3.0229,3.17866,1.49603,5412.17,3617.69,0.44044,0.294406
MOF31,18.70421,7.24631,18.70421,0.469648,1752.26,3731.0,0.82138,1.74893
MOF32,33.13124,31.58045,33.12715,0.460108,1580.57,3435.23,0.83424,1.81314
MOF33,7.65165,3.33374,7.65165,1.59198,3649.09,2292.17,0.50232,0.315531
MOF34,7.4485,3.57263,7.4485,1.57117,3699.83,2354.82,0.51666,0.328838
MOF35,5.92037,3.78673,5.76953,1.43099,3815.1,2666.06,0.53858,0.37637
MOF36,9.75441,3.8914,9.74182,1.10792,3525.39,3181.99,0.58128,0.524659
MOF37,8.7476,1.65804,8.7476,2.48339,4114.43,1656.78,0.4246,0.170976
MOF38,14.73899,5.12647,14.73899,0.739806,2873.63,3884.31,0.6855,0.926594
MOF39,19.69299,7.98654,19.69299,0.409554,1756.17,4288.0,0.81358,1.9865
MOF40,18.4936,4.06846,18.48482,0.9977,2705.41,2711.64,0.70082,0.702436
MOF41,5.83331,5.05627,5.83331,2.03698,6123.02,3005.93,0.2961,0.145362
MOF42,10.42009,7.18667,10.42009,0.676137,2704.65,4000.15,0.74592,1.10321
MOF43,4.43805,1.53082,4.41472,4.78836,2938.18,613.609,0.15646,0.0326751
MOF44,29.11713,28.49004,29.11713,0.486038,1694.2,3485.75,0.80534,1.65695
MOF45,13.05025,6.26019,10.99255,1.88471,3053.42,1620.1,0.5841,0.309914
MOF46,8.88001,3.79178,8.88001,1.22494,3443.33,2811.03,0.57644,0.470588
MOF47,7.31597,3.25434,7.28285,1.46193,4191.34,2866.99,0.48444,0.33137
MOF48,3.76068,2.54094,3.76068,1.45961,7356.29,5039.91,0.376,0.257604
MOF49,6.45585,3.26114,6.45487,1.84619,4150.03,2247.88,0.37502,0.203131
MOF50,3.25413,2.62453,3.25413,1.49231,6357.04,4259.86,0.4149,0.278025
MOF51,4.20748,3.14588,4.20748,1.86702,7574.29,4056.88,0.3814,0.204283
MOF52,4.42304,4.31128,4.42304,2.33356,4366.07,1870.99,0.34936,0.149711
MOF53,5.90423,2.6714,5.70028,1.31183,5277.92,4023.31,0.38682,0.294869
MOF54,3.15379,2.97465,3.14991,1.96585,5237.28,2664.13,0.4796,0.243966
MOF55,4.86873,2.49441,4.85594,1.37685,5871.42,4264.39,0.43076,0.31286
MOF56,25.91872,14.45368,25.91872,0.455113,1497.74,3290.91,0.84416,1.85484
MOF57,3.74944,3.33712,3.74944,2.12494,6603.71,3107.72,0.35924,0.169059
MOF58,3.59955,3.06666,3.5637,2.10142,6670.72,3174.38,0.34514,0.164241
MOF59,7.82099,6.43142,7.82099,1.16534,4356.66,3738.53,0.45516,0.390581
MOF60,4.02404,2.46419,4.00567,1.34717,5845.44,4339.06,0.45488,0.337657
MOF61,2.69627,1.92627,2.69627,1.73162,5556.06,3208.6,0.35016,0.202215
MOF62,5.58308,2.4011,5.5821,1.24145,5853.13,4714.76,0.49432,0.39818
MOF63,11.00675,3.49366,11.00675,1.10433,4623.52,4186.73,0.61496,0.556864
MOF64,10.20776,10.09526,10.20776,1.01266,4527.94,4471.32,0.61202,0.604366
MOF65,10.32219,10.19883,10.32219,0.893387,3940.77,4411.05,0.6163,0.689847
MOF66,7.06145,3.53612,7.06145,2.11047,3494.3,1655.7,0.58458,0.27699
MOF67,6.96169,5.94428,6.92821,1.4203,4138.13,2913.55,0.53298,0.375258
MOF68,19.52135,6.64584,19.52135,1.26176,2318.49,1837.5,0.72188,0.572119
MOF69,28.26852,6.66862,28.26852,1.44915,2884.76,1990.65,0.63506,0.438228
MOF70,28.67887,6.71408,28.67887,0.993033,2663.59,2682.28,0.67516,0.679897
MOF71,6.23549,4.07005,5.99515,1.80747,3505.56,1939.48,0.5663,0.31331
MOF72,3.89349,3.28987,3.89118,1.71681,4907.92,2858.75,0.44946,0.261799
MOF73,3.47694,2.59984,3.20736,1.77279,6009.97,3390.13,0.42344,0.238856
MOF74,3.73526,3.13793,3.70329,1.42965,6560.84,4589.13,0.39356,0.275285
MOF75,7.15578,5.50181,7.1326,1.91188,3415.35,1786.39,0.6213,0.324969
MOF76,6.04734,5.69956,6.04734,1.50744,5542.31,3676.64,0.4894,0.324656
MOF77,2.70126,1.4682,2.69849,1.53276,7214.57,4706.91,0.34774,0.226871
MOF78,3.47773,2.06152,3.45882,1.55864,6941.37,4453.47,0.35844,0.22997
MOF79,5.17721,3.88044,5.16559,1.56809,5704.42,3637.8,0.4154,0.264907
MOF80,3.78582,2.15024,3.78582,1.90481,6578.77,3453.77,0.35584,0.186811
MOF81,3.44926,1.62395,3.44926,1.66457,6931.87,4164.37,0.34876,0.20952
MOF82,4.41466,3.00485,4.41466,1.54432,5277.1,3417.11,0.44792,0.290044
MOF83,5.46366,4.90673,5.46366,1.30343,5394.39,4138.61,0.48936,0.37544
MOF84,4.11804,2.53303,4.1151,1.25075,5997.64,4795.24,0.37828,0.302443
MOF85,4.12346,2.5924,4.10888,1.24075,5996.12,4832.66,0.4335,0.349386
MOF86,7.03902,6.03094,7.03874,1.11887,4983.1,4453.71,0.5359,0.478967
MOF87,6.66817,3.59897,6.6619,1.31448,4698.16,3574.15,0.53056,0.403627
MOF88,17.34515,14.33675,17.34515,0.750299,2723.62,3630.05,0.70826,0.94397
MOF89,17.90774,5.5108,17.90774,0.627024,2508.4,4000.48,0.73588,1.17361
MOF90,17.82346,5.70058,17.82346,0.554947,2359.97,4252.6,0.76638,1.381
MOF91,14.77554,3.65211,14.77554,0.94121,3370.65,3581.19,0.64884,0.689368
MOF92,11.40321,10.18699,11.40276,0.917491,2756.98,3004.91,0.65668,0.715735
MOF93,8.03559,1.09904,7.7189,2.39674,5284.76,2204.98,0.44854,0.187146
MOF94,9.36186,2.97688,9.35124,1.40953,3822.46,2711.86,0.53832,0.381913
MOF95,9.41435,5.13416,9.40904,0.969658,3217.36,3318.04,0.655,0.675496
MOF96,8.99461,3.85355,8.97552,1.21284,3478.03,2867.67,0.61294,0.505376
MOF97,8.94892,3.82859,8.93511,1.20805,3381.06,2798.77,0.60586,0.501518
MOF98,14.79601,10.7225,14.77646,0.635827,2356.28,3705.86,0.77934,1.22571
MOF99,2.73546,1.60448,2.57312,1.48961,7802.26,5237.79,0.34724,0.233108
MOF100,9.61883,9.49812,9.61883,1.11995,5507.53,4917.65,0.52988,0.473128
MOF101,6.00918,1.84848,5.22296,2.52793,5420.82,2144.37,0.36694,0.145154
MOF102,14.90827,3.336,14.90827,1.00238,4488.09,4477.43,0.59624,0.594824
MOF103,9.48439,5.60001,9.48439,1.12549,3845.29,3416.55,0.54282,0.482298
MOF104,6.06767,5.74902,6.06767,2.24031,5084.33,2269.47,0.4267,0.190464
