,L_MolWt,L_HeavyAtomMolWt,L_ExactMolWt,L_MaxEStateIndex,L_MinEStateIndex,L_MaxAbsEStateIndex,L_MinAbsEStateIndex,L_NumValenceElectrons,L_NumRadicalElectrons,L_MaxPartialCharge,L_MinPartialCharge,L_MaxAbsPartialCharge,L_MinAbsPartialCharge,L_FpDensityMorgan1,L_FpDensityMorgan2,L_FpDensityMorgan3,L_BCUT2D_MWHI,L_BCUT2D_MWLOW,L_BCUT2D_CHGHI,L_BCUT2D_CHGLO,L_BCUT2D_LOGPHI,L_BCUT2D_LOGPLOW,L_BCUT2D_MRHI,L_BCUT2D_MRLOW,L_BalabanJ,L_BertzCT,L_Chi0,L_Chi0n,L_Chi0v,L_Chi1,L_Chi1n,L_Chi1v,L_Chi2n,L_Chi2v,L_Chi3n,L_Chi3v,L_Chi4n,L_Chi4v,L_HallKierAlpha,L_Ipc,L_Kappa1,L_Kappa2,L_Kappa3,L_LabuteASA,L_PEOE_VSA1,L_PEOE_VSA10,L_PEOE_VSA11,L_PEOE_VSA12,L_PEOE_VSA13,L_PEOE_VSA14,L_PEOE_VSA2,L_PEOE_VSA3,L_PEOE_VSA4,L_PEOE_VSA5,L_PEOE_VSA6,L_PEOE_VSA7,L_PEOE_VSA8,L_PEOE_VSA9,L_SMR_VSA1,L_SMR_VSA10,L_SMR_VSA2,L_SMR_VSA3,L_SMR_VSA4,L_SMR_VSA5,L_SMR_VSA6,L_SMR_VSA7,L_SMR_VSA9,L_SlogP_VSA1,L_SlogP_VSA10,L_SlogP_VSA12,L_SlogP_VSA2,L_SlogP_VSA3,L_SlogP_VSA4,L_SlogP_VSA5,L_SlogP_VSA6,L_SlogP_VSA7,L_SlogP_VSA8,L_TPSA,L_EState_VSA1,L_EState_VSA10,L_EState_VSA11,L_EState_VSA2,L_EState_VSA3,L_EState_VSA4,L_EState_VSA5,L_EState_VSA6,L_EState_VSA7,L_EState_VSA8,L_EState_VSA9,L_VSA_EState1,L_VSA_EState10,L_VSA_EState2,L_VSA_EState3,L_VSA_EState4,L_VSA_EState5,L_VSA_EState6,L_VSA_EState7,L_VSA_EState8,L_VSA_EState9,L_FractionCSP3,L_HeavyAtomCount,L_NHOHCount,L_NOCount,L_NumAliphaticCarbocycles,L_NumAliphaticHeterocycles,L_NumAliphaticRings,L_NumAromaticCarbocycles,L_NumAromaticHeterocycles,L_NumAromaticRings,L_NumHAcceptors,L_NumHDonors,L_NumHeteroatoms,L_NumRotatableBonds,L_NumSaturatedCarbocycles,L_NumSaturatedHeterocycles,L_NumSaturatedRings,L_RingCount,L_MolLogP,L_MolMR,L_fr_Al_COO,L_fr_Al_OH,L_fr_Al_OH_noTert,L_fr_ArN,L_fr_Ar_COO,L_fr_Ar_N,L_fr_Ar_NH,L_fr_Ar_OH,L_fr_COO,L_fr_COO2,L_fr_C_O,L_fr_C_O_noCOO,L_fr_C_S,L_fr_Imine,L_fr_NH0,L_fr_NH1,L_fr_NH2,L_fr_N_O,L_fr_Ndealkylation1,L_fr_Ndealkylation2,L_fr_Nhpyrrole,L_fr_SH,L_fr_aldehyde,L_fr_alkyl_halide,L_fr_allylic_oxid,L_fr_amide,L_fr_amidine,L_fr_aniline,L_fr_aryl_methyl,L_fr_azo,L_fr_bicyclic,L_fr_dihydropyridine,L_fr_epoxide,L_fr_ester,L_fr_ether,L_fr_guanido,L_fr_halogen,L_fr_hdrzine,L_fr_hdrzone,L_fr_imide,L_fr_ketone,L_fr_ketone_Topliss,L_fr_lactone,L_fr_methoxy,L_fr_nitrile,L_fr_nitro,L_fr_nitroso,L_fr_piperdine,L_fr_piperzine,L_fr_quatN,L_fr_sulfide,L_fr_sulfone,L_fr_unbrch_alkane,L_fr_urea,L_linkermetalratio,L_Contiguous_Rotable_Bonds,G_catenation
MOF1,80.7663,77.23830000000001,80.722200471937,8.544649045729402,-1.0979699074074074,8.544649045729402,0.8654745370370371,31.4,1.2,0.11220201941741918,-0.48687728374425643,0.48687728374425643,0.11220201941741918,1.842857142857143,2.257142857142857,2.565714285714286,10.972761419054319,5.752596789996275,0.6538504230134686,-1.887452632992448,0.5121068798859362,-2.1342451530881745,3.3525061381295678,-0.5111905358932852,3.0653762129130175,172.92879703204744,7.414553541208297,6.141235689288525,2.6412356892885254,3.9887756069353393,2.8375638919978425,1.1086784537978596,0.5606773746528919,0.5606773746528919,0.27874168077228034,0.27874168077228034,0.14987122858864207,0.14987122858864207,-0.742,635.2504453426096,8.689729543501189,5.911598244487514,2.6662099017902348,38.76597765215223,8.074688600384025,3.0741382231575156,4.03546347030238,0.0,0.678907609989417,0.0,0.4794537184071822,4.058800560382668,0.0,0.0,3.9674451055875175,3.8237549407976275,6.587078055221421,2.5888883458865855,13.319525646281187,8.751546300102438,0.0,1.0633577208012661,4.139386234726656,7.791200046385145,0.0,2.3036026818196467,0.0,5.781870292335015,0.0,0.0,8.751546300102438,4.93086811443373,0.0,12.04055157051283,5.299045521401048,0.5647368313312803,0.0,50.938,9.5819916327707,2.9703193736737585,0.0,10.824631547868641,0.0,0.0,0.0,0.0,0.0,4.737708170372085,9.253967905431157,24.30314866780045,0.0,9.266260156840513,7.0810934901738465,0.06238888888888896,-0.7691782407407406,0.0,-3.476837962962962,-0.5002083333333335,0.0,0.24000000000000005,5.7,0.4,2.7,0.0,0.4,0.4,0.0,0.0,0.0,2.3,0.2,2.7,1.4,0.0,0.0,0.0,0.4,-0.9345800000000001,17.896929999999998,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.8,0.0,0.6,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.4,4.0
MOF2,138.4825,138.4825,138.3934792757405,9.828822521173711,-1.5678527821384967,9.828822521173711,0.6525997150997149,50.205128205128204,4.589743589743589,0.06698155356787447,-0.5459708716705725,0.5459708716705725,0.06698155356787447,1.154151404151404,1.4624542124542126,1.5863858363858365,16.36808195450012,10.171614181791526,1.9525272924899484,-2.0218533915353287,1.9411379327404006,-2.2522570615395954,5.869082939479338,-0.2674776675134437,3.0302773512035093,220.48553262774692,8.034231649041061,4.8659427564893685,4.8659427564893685,4.819257962980446,2.3688688141421204,2.3688688141421204,1.5012079113445644,1.5012079113445644,0.8147277749289141,0.8147277749289141,0.3913531002928185,0.3913531002928185,-1.5041025641025638,356.7482541242653,7.4537007874015755,2.73110036931268,1.6349711562328952,59.480313009295536,17.263394650411588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.651048059458798,9.566194371717707,17.263394650411588,10.408019476428866,0.0,0.0,0.0,0.0,0.0,30.80922295474764,0.0,8.903688791004308,0.0,0.0,10.408019476428866,1.2293685087363646,30.80922295474764,7.1303373506709145,0.0,0.0,0.0,69.9702564102564,19.516446906488184,16.120964122075527,0.0,0.0,0.0,0.0,0.9055004852844373,0.0,18.043553331834534,0.0,3.894172235905411,0.0,0.0,17.343107411768127,17.343107411768127,-0.6196581196581191,-2.8197036649417604,6.017431149097815,0.18836063627730293,2.3529107312440645,0.0,0.0,10.371794871794872,0.0,3.4871794871794872,0.0,0.0,0.0,0.7435897435897436,0.0,0.7435897435897436,3.4871794871794872,0.0,3.4871794871794872,1.7692307692307692,0.0,0.0,0.0,0.7435897435897436,-2.250552692307692,25.731910256410252,0.2564102564102564,0.0,0.0,0.0,1.4871794871794872,0.0,0.0,0.0,1.7435897435897436,1.7435897435897436,1.7435897435897436,1.7435897435897436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9558823529411765,1.0256410256410255,0.0
MOF3,92.1832857142857,91.6552857142857,92.1322935994819,9.071816578483245,-1.8372464726631392,9.071816578483245,1.4689005866897022,34.61904761904762,3.0,0.05974463103288811,-0.5493023094328623,0.5493023094328623,0.05974463103288811,1.7331821617535905,1.9727891156462587,2.1179138321995468,16.362749008129143,6.167435902775765,1.4848157040757124,-1.868061197007967,1.2843991167146496,-2.203035692535953,5.681408552468605,-0.3076677736224977,3.4307052464176917,114.4528017979348,5.986127817851953,3.5537090756993925,3.0298995518898684,3.1869719941045966,1.5268545378496963,1.2649497759449342,0.646363776861356,0.646363776861356,0.18430312369291654,0.18430312369291654,0.07875870470360112,0.07875870470360112,-0.9438095238095239,172.40405230273524,4.727837237299533,2.2436763444481356,3.413802099504674,39.127827389587104,15.087336501200044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.593745034015243,1.1071596453433177,6.560429874180592,12.565881330412651,15.805352887765398,9.09608424830758,0.0,0.0,0.0,0.0,0.0,13.01311524907887,0.0,7.781375077852504,0.0,0.0,9.09608424830758,7.305961423347538,9.31221056972031,0.7180163865653535,3.7009046793585605,0.0,0.0,61.15047619047618,12.796988927666142,9.429585313250026,0.0,0.0,0.0,0.0,5.355789312754238,0.0,0.0,0.0,10.33218883148144,3.475650217759061,0.0,14.162903934060395,14.162903934060395,-0.12359788359788357,-2.8056657848324513,-0.546516754850088,1.1187667818450129,3.0793650793650795,0.0,0.0,6.619047619047619,0.0,3.0476190476190474,0.0,0.0,0.0,0.0,0.0,0.0,3.0476190476190474,0.0,3.0476190476190474,1.4761904761904763,0.0,0.0,0.0,0.0,-2.400609523809524,14.99095238095238,1.5238095238095237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5238095238095237,1.5238095238095237,1.5238095238095237,1.5238095238095237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.8571428571428571,6.0
MOF4,66.06299999999999,64.047,66.021798064,6.666666666666667,-0.06481481481481466,6.666666666666667,0.06481481481481444,24.0,2.0,0.1264531362638064,-0.178241988450243,0.178241988450243,0.1264531362638064,1.8,2.7999999999999994,3.0,12.996951596422283,-0.08308417298741257,0.3732893452861685,-1.7799094857734243,0.6199357722412817,-1.7241629737203235,3.1629873141067235,-0.343232254217636,2.686623329643819,128.89659695223975,5.276020881938894,4.394427190999916,2.3944271909999157,3.2876937002347035,2.1472135954999576,1.1472135954999578,0.5486067977499789,0.5486067977499789,0.2618033988749895,0.2618033988749895,0.12499999999999999,0.12499999999999999,-0.66,46.670482779147534,1.2044926310342425,0.9709541506508949,0.3184025993331775,33.03041991573399,0.0,6.5208080451142605,0.0,0.0,0.0,0.0,0.0,0.0,10.228500251258795,0.0,0.0,0.0,6.076020106833881,8.917523641362573,2.7415171123404405,0.0,0.0,0.0,10.228500251258795,0.0,0.0,18.772834680970274,0.0,0.0,0.0,0.0,0.0,0.0,12.59682815194814,2.7415171123404405,16.40450678028093,0.0,0.0,24.72,0.0,0.0,0.0,12.696814574136392,0.0,0.0,0.0,0.0,0.0,16.304520358092677,2.7415171123404405,13.333333333333334,0.0,0.0,6.37962962962963,0.0,0.0,0.0,2.185185185185185,-0.06481481481481444,0.0,0.0,5.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9308799999999998,16.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
MOF5,407.6210000000001,399.55700000000024,406.97868643600015,8.79293968096498,-5.166175925925928,8.79293968096498,0.058243575207861165,127.0,18.0,0.0,0.0,0.0,0.0,0.6826923076923078,1.0865384615384615,1.4903846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.643455102907178,1240.2463474252545,24.692889592041748,21.02037224560233,14.880485774738839,16.458984653311752,11.804940534989719,11.299454839138912,6.281833300112269,12.299866789861932,4.995687172199232,12.338742161690561,4.052636650708976,11.856552014296211,-0.7105194805194804,148377592.05849627,9.868902892367617,4.245048709545007,1.234929914680649,176.4912273379321,0.0,0.0,0.0,0.0,0.0,176.61711855307968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.715407964885618,10.098007820167066,0.0,14.999351478247334,0.0,0.0,0.0,128.8043512897797,0.0,0.0,0.0,10.098007820167066,14.999351478247334,11.749339515523864,104.63467645912651,10.966068449361762,24.16967483065318,0.0,0.0,16.34,18.14621277765156,0.0,0.0,96.22127595918334,0.0,0.0,14.999351478247334,0.0,0.0,19.26246486877803,27.98781346921945,75.17659315948603,-5.166175925925928,0.0,0.0,0.07944538926681932,-0.3331179138321988,-1.0227853363567632,7.862017431972791,8.947973812673219,8.000493827160492,0.0,27.0,0.0,4.0,0.0,6.0,6.0,0.0,2.0,2.0,4.0,0.0,6.0,0.0,0.0,2.0,2.0,8.0,2.4001300000000003,90.92200000000001,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,5.0
MOF6,847.4650000000012,819.2410000000001,846.1255081760909,12.853605973525019,-1.756421156071147,12.853605973525019,0.0,297.0,1.0,3.0,-0.6567214503750116,3.0,0.6567214503750116,0.4098360655737705,0.7540983606557377,1.098360655737705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.023994373507748e-05,4031.932470013459,65.36966717059443,57.37106847172757,30.358681186751266,41.22654748095536,30.054840705710735,16.421847543855282,11.885897891760843,11.885897891760843,8.302564558427513,8.302564558427513,5.645709470213677,5.645709470213677,-8.146493506493503,1.530695717888169e+20,18.41246206386938,15.893826143826734,7.412866567142882,395.0489259002281,30.403189806323265,0.0,0.0,0.0,5.724798628930537,40.36864498465773,0.0,29.146105778181703,0.0,22.06680287046505,72.50902449195954,117.05524857902458,0.0,77.92772329426711,89.00301068165169,48.08550813594966,5.724798628930537,19.935914083788834,0.0,0.0,0.0,232.4523069034889,0.0,9.967957041894417,0.0,0.0,54.280410958130666,16.49142383285033,111.60393275022284,52.07635408437261,120.84837415326596,0.0,29.93308561307281,203.17999999999998,280.5378150394385,41.110285635010825,0.0,16.49142383285033,0.0,0.0,0.0,0.0,0.0,40.371146848217684,16.690867078292296,249.58978511347846,0.0,68.99949417612007,15.804357178288603,-22.59534566015758,-7.025684624284586,-30.772606183444935,0.0,0.0,0.0,0.0,61.0,4.0,12.0,0.0,2.0,2.0,4.0,3.0,7.0,10.0,4.0,13.0,8.0,0.0,0.0,0.0,9.0,6.557500000000008,214.54919999999967,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0
MOF7,77.57354166666664,75.55754166666667,77.521798064,6.75708912037037,-0.2442129629629625,6.75708912037037,0.2220293209876539,27.833333333333332,3.9166666666666665,0.1397501482285965,-0.23882585810748677,0.23882585810748677,0.1397501482285965,1.8319444444444442,2.672222222222222,2.840277777777778,12.904567403145109,-0.08815314212029358,1.0334834577488243,-1.8739418240525714,1.1003917869954538,-2.026817350713744,3.7511457891038678,-0.35872283451757964,2.792351195787655,169.50184086879685,6.110004224608512,4.873593857666583,2.8735938576665827,3.681967017336106,2.3840105243332492,1.384010524333249,0.7615034433436878,0.7615034433436878,0.36894832279685436,0.36894832279685436,0.17857246196093246,0.17857246196093246,-0.79,65.91834701974848,1.7492168676837556,1.1148733681844758,0.40065203543972056,39.1285629336765,0.0,5.592468961350716,0.2641056401050785,0.0,0.0,0.0,0.0,10.309193336642,0.0,0.0,0.0,0.0,12.352013058044266,9.376765262043953,2.7415171123404405,5.856574601455795,0.0,5.316788604006331,4.992404732635669,0.0,0.0,18.987261207747782,0.0,5.316788604006331,0.0,0.0,5.856574601455795,0.0,6.635248149703514,2.7415171123404405,17.344417790679934,0.0,0.0,26.460000000000004,0.0,0.0,0.0,17.944482019394982,0.0,0.0,0.0,0.0,0.0,10.573298976747077,9.376765262043953,13.51417824074074,0.0,3.245949074074074,3.245949074074074,0.0,-0.2395833333333329,0.0,-0.3556134259259253,6.4155092592592595,0.0,0.0,5.958333333333333,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.05880291666666663,21.816874999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
MOF8,164.21887500000008,156.469875,164.1220283421656,10.976343104371379,-3.311157407407407,10.976343104371379,0.1854634353741495,63.0625,0.6875,0.17157668331025416,-0.5358450487199594,0.5358450487199594,0.17157668331025416,2.215909090909091,3.042395104895105,3.7561188811188813,11.737601971341167,-0.16715049870756826,0.08067094486890065,-2.583457941010354,0.07075415808036446,-2.766510365244989,1.5406639791412198,-0.8964765066864641,2.774141059163012,566.2357981429868,15.372841698147692,13.286436517708852,5.598936517708854,8.729366437042955,6.65091456852616,2.9094382272449897,1.8918652674355214,1.8918652674355214,1.151512007490549,1.151512007490549,0.6726642634894187,0.6726642634894187,-1.3475000000000001,15229.182050785676,2.673132508605159,2.9083447626762293,1.4056461485302663,79.26352621765386,19.258001961858795,3.471533671189417,1.323601948432688,0.3928850326955972,0.4243172562433856,0.0,0.9316164357593735,4.672479863388007,0.0,0.0,0.0,0.37975125667711757,17.569578515683467,29.446179288026514,20.498870915479124,6.413425996393842,0.0,14.980533070266706,0.0,16.932771152515343,0.40605373026974656,18.638290365029597,0.0,10.429482073701932,0.0,0.0,21.42355606569746,16.36300319445263,12.372814426120271,8.280169504311854,6.2654759389093275,2.735444026760889,0.0,79.55437500000001,44.294222875320166,9.581906616734983,0.0,5.661530569581494,0.0,0.3928850326955972,0.43898272636742974,0.37975125667711757,0.7746054464516345,5.42909640738179,10.916964298744144,57.80391210593033,0.0,14.70766942830373,10.090558813224364,-1.4800882523148142,-2.139199883078232,-2.955899884259259,-3.0574654549319726,-2.8599906698790623,0.08842046367157974,0.39248511904761907,11.875,1.9375,4.9375,0.0,0.875,0.875,0.0,0.9375,0.9375,3.9375,1.9375,4.9375,1.5,0.0,0.0,0.0,1.8125,-1.8642399999999997,37.10754375,0.9375,0.0,0.0,0.0,0.0,1.875,0.9375,0.0,0.9375,0.9375,0.9375,1.0625,0.0,0.0,1.0,1.9375,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.4375,1.0
MOF9,74.58524169435215,74.58524169435215,74.54304831620722,8.214112103174601,-0.3960851944136828,8.214112103174601,0.6310900393749231,27.447674418604652,3.653654485049834,0.1324907156753335,-0.40037626948192195,0.4411674749094199,0.09169951024783553,1.4722685145234977,1.6265595561691908,1.7188906746630999,15.994802311988204,11.035481958037543,1.463519032570575,-1.5856088256689531,1.3510328033593144,-1.8451557575947122,5.065511449592302,0.10335147247318077,2.383451653635073,72.2966243947651,4.474468267948151,2.4810095667871246,2.4810095667871246,2.488547313466212,1.0193669096394091,1.0193669096394091,0.5107140177747275,0.5107140177747275,0.2136452553627475,0.2136452553627475,0.09969275712267554,0.09969275712267554,-0.6871511627906978,132.33202697716993,4.4723718853691565,2.2228607149346806,2.7628426667048607,31.84499296627024,9.72837159207103,0.0,0.0,0.0052210635574165744,0.005638767524829045,1.5402601740575188,0.00796434748184688,0.0,2.315750795334739,0.0,0.0,1.5795633666436917,8.50674133113377,6.942813031453711,12.052086734887615,6.019321789950435,0.0,0.0,0.0,0.0,0.0,12.5609159444205,0.0,5.0174600565586,0.0,0.0,6.019321789950435,5.640865869005811,12.264671185347051,1.3937608093232041,0.29624475907344944,0.0,0.0,48.48283222591362,6.279682144344313,6.521216122157504,0.0,3.6246548708012902,0.0,0.21853739654499169,2.5515533797956285,0.8035435241287007,1.3458711930134377,1.290459035346848,7.996806803125837,0.0,0.0,9.124602790082438,12.795518410852713,-0.2597679801894917,-1.2057159007013656,0.8494093761535622,0.8054886489479512,2.2188145994832045,0.0,0.0,5.406146179401993,0.0,2.420265780730897,0.0,0.0,0.0,0.12043189368770764,0.0,0.12043189368770764,1.9667774086378738,0.0,2.420265780730897,0.8662790697674418,0.0,0.0,0.0,0.12043189368770764,-1.5273426578073093,12.006147425249166,0.4069767441860465,0.0,0.0,0.0,0.29069767441860467,0.0,0.0,0.0,0.6976744186046512,0.6976744186046512,0.6976744186046512,0.9842192691029901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4754901960784315,0.542358803986711,0.0
MOF10,248.18466666666654,237.43266666666668,248.0369708346669,11.213999643067103,-4.381603127362057,11.213999643067103,0.7731872320400456,84.66666666666667,1.3333333333333333,0.21004290810252635,-0.27779027029046605,0.27779027029046605,0.21004290810252635,0.8669590643274853,1.314327485380117,1.7616959064327486,11.788427245983376,-0.13897025446338698,0.4572168063418351,-2.3496162406997563,0.5181494219965762,-2.289750062406879,2.750586227727337,-0.5702188570962038,2.94572327380423,910.0898792361551,21.34804090494013,18.64975596557022,9.175658886903438,12.317833745848077,9.464625019893399,6.297590265680246,2.7403990211434093,5.340650134596935,1.6161787207370624,4.103591029953396,0.9376021709171369,2.936863881080859,-1.3533333333333335,1349564.0238152358,4.3355691963239265,4.670396443725742,2.7266603714480966,112.75858127146857,0.0,3.9034011402754687,0.0,0.0,9.825103373924799,0.0,9.409383393873243,0.0,6.524548803669966,0.0,24.16967483065318,27.878642491784507,17.13092488429852,12.793746524255388,27.232704449394088,16.897823235576677,0.0,3.322652347298139,0.0,0.0,3.9034011402754687,60.278844270190696,0.0,7.072719861651876,0.0,9.825103373924799,7.226053487573608,12.611279850245074,3.7089676611313305,14.621424599149014,56.56987660905937,0.0,0.0,57.88666666666666,77.37110098491152,12.611279850245074,0.0,3.7089676611313305,0.0,0.0,0.0,0.0,0.0,3.322652347298139,14.621424599149014,98.51792671223677,0.0,19.526536701100188,-2.1580965678452455,-0.20716049382716029,-2.943090199042581,-8.802955249371793,-0.7473167044595609,0.0,-8.389547902494334,0.05128205128205129,16.666666666666668,0.0,3.3333333333333335,0.0,0.0,0.0,1.3333333333333333,0.6666666666666666,2.0,2.0,0.0,4.666666666666667,3.0,0.0,0.0,0.0,2.0,2.5959266666666676,64.45200000000004,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,3.0
