,M_AtomicRadii,M_Electronegativity,M_Affinity,M_Ionization,M_NumValenceElectrons,M_NumRadicalElectrons,M_MolWt,M_Hybridization,M_Oxidation_state
MOF1,1.35,1.88,0.66225547,7.88,9,1,58.933,3,1.75
MOF2,1.4,1.66,0.67592827,6.77,6,0,51.996,0,0
MOF3,1.25,1.61,0.432835,5.99,3,3,26.982,5,2.666666667
MOF4,1.35,1.91,1.1571612,7.64,10,0,58.693,4,2
MOF5,1.5125,1.455,0.363275838,6.9475,5,0,82.37925,7,3.5
MOF6,1.51,1.446,0.57806344,6.832,5.2,0,84.7178,7.2,3.6
MOF7,1.35,1.65,-0.62,9.39,2,0,65.39,3,2
MOF8,1.55,1.69,-0.72,8.99,2,0,112.412,8,4
MOF9,1.4,1.66,0.67592827,6.77,6,0,51.996,0,0
MOF10,1.35,1.9,1.235784,7.73,11,1,63.546,3,2
MOF11,1.8,2.33,0.3567212,7.42,4,4,207.2,4,2
MOF12,1.8,2.33,0.3567212,7.42,4,4,207.2,4,2
MOF13,1.8,2.33,0.3567212,7.42,4,4,207.2,4,2
MOF14,1.95,1.1,0.5575462,5.58,3,1,138.906,8,4
MOF15,1.35,1.9,1.235784,7.73,11,1,63.546,3,2
MOF16,1.35,1.65,-0.62,9.39,2,0,65.39,2,2
MOF17,1.35,1.9,1.235784,7.73,11,1,63.546,4,2
MOF18,1.25,1.61,0.432835,5.99,3,3,26.982,6,3
MOF19,1.95,1.1,0.5575462,5.58,3,1,138.906,8,4
MOF20,1.35,1.9,1.235784,7.73,11,1,63.546,3,2
MOF21,2.15,0.89,0.144626,5.21,2,2,137.328,3,2
MOF22,1.25,1.61,0.432835,5.99,3,3,26.982,6,3
MOF23,1.55,1.3,0.17807,6.83,4,0,178.49,8,4
MOF24,1.55,1.33,0.433289,6.63,4,0,91.224,8,4
MOF25,1.55,1.33,0.433289,6.63,4,0,91.224,8,4
MOF26,1.6,1.93,1.304473,7.58,11,1,107.868,1.333333333,1.333333333
MOF27,1.306410256,2.033076923,0.649130538,7.044871795,4.692307692,1.307692308,115.466,0,0
MOF28,1.4,1.83,0.15323635,7.9,8,0,55.845,0,0
MOF29,1.25,1.61,0.432835,5.99,3,3,26.982,6,3
MOF30,1.4,1.66,0.67592827,6.77,6,0,51.996,6,3
MOF31,1.55,1.33,0.433289,6.63,4,0,91.224,8,4
MOF32,1.5125,1.455,0.363275838,6.9475,5,0,82.37925,7,3.5
MOF33,1.55,1.33,0.433289,6.63,4,0,91.224,8,4
MOF34,1.55,1.33,0.433289,6.63,4,0,91.224,8,4
MOF35,1.55,1.33,0.433289,6.63,4,0,91.224,8,4
MOF36,1.55,1.33,0.433289,6.63,4,0,91.224,8,4
MOF37,1.35,1.91,1.1571612,7.64,10,0,58.693,4,2
MOF38,1.35,1.91,1.1571612,7.64,10,0,58.693,4,2
MOF39,1.35,1.91,1.1571612,7.64,10,0,58.693,0,0
MOF40,1.35,1.91,1.1571612,7.64,10,0,58.693,0,0
MOF41,1.35,1.65,-0.62,9.39,2,0,65.39,3.5,2
MOF42,1.35,1.65,-0.62,9.39,2,0,65.39,4,2
MOF43,1.35,1.91,1.1571612,7.64,10,0,58.693,4,2
MOF44,1.55,1.33,0.433289,6.63,4,0,91.224,8,4
MOF45,1.55,1.33,0.433289,6.63,4,0,91.224,0,0
MOF46,1.55,1.33,0.433289,6.63,4,0,91.224,8,4
MOF47,1.55,1.33,0.433289,6.63,4,0,91.224,8,4
MOF48,1.35,1.65,-0.62,9.39,2,0,65.39,4,2
MOF49,1.35,1.65,-0.62,9.39,2,0,65.39,2,2
